2.144467424048194061e+03,4,1,4.791454738270282121e+00,2.996233074197250517e+02
1.579474837687026820e+03,2,1,8.162033206102725558e+01,2.455222672083041004e+02
1.819151510688789131e+03,2,2,3.558778764287863794e+01,4.424286606679822285e+02
2.341998406837101356e+03,3,2,2.102323291482194279e+01,3.995059696525978552e+02
2.187344563204525912e+03,2,2,5.591926753526792737e+01,1.772592287934141098e+02
1.008873336445086920e+03,4,1,2.671048130311980628e+01,3.994211405156345904e+02
1.807283448200698331e+03,2,1,4.072791896826281288e+00,4.474342263405168296e+02
1.351010384594834932e+03,2,1,3.749916955975614030e+00,3.684028423988796135e+02
1.370951664385816912e+03,4,2,5.662907915978334472e+01,3.428838300295324188e+02
1.583800136089437956e+03,4,1,3.451466633206268142e+01,2.777635209768296249e+02
1.473379946446223812e+03,4,2,3.518513412021722786e+01,2.109392133183829117e+02
2.016141761301757469e+03,3,2,6.657964980913277486e+01,4.459466894224570410e+02
1.728969333943885431e+03,2,2,9.448393774149099755e+00,3.299076925590172209e+02
1.464113788655459075e+03,4,1,1.971454089768333517e+01,3.378200729572461682e+02
1.597580027061371993e+03,3,1,2.867586864389213375e+01,5.434735042616491683e+02
1.551934351732192226e+03,3,1,4.109511435273238789e+01,4.338349179002103142e+02
2.032631188660111775e+03,3,1,3.755713000626170128e+01,4.010259635163404255e+02
1.328723335803559849e+03,3,2,3.121533995023312258e+01,3.770984754741137976e+02
1.543398071748010807e+03,3,2,3.705295641692961794e+01,5.212233927392835540e+02
1.059901450174740603e+03,3,1,3.586919182196556477e+01,5.420999752362478148e+02
3.561357926899511313e+02,3,1,2.000150630240841920e+01,4.594611134200758897e+02
1.684471036204960683e+03,2,1,1.758134774546244117e+01,4.231373050739936730e+02
1.771802077809670664e+03,3,1,4.576407079826643098e+01,1.431544976044764610e+02
1.106268670511907658e+03,4,2,1.556200251881789853e+01,3.751802144558027976e+02
2.353954231435672227e+03,2,1,8.657225358462792286e+00,3.486309822463877595e+02
8.112400583209629303e+02,3,1,3.055696976064228210e+01,3.720665586628509800e+02
1.432665433101463350e+03,2,1,3.456407111459358816e+01,4.608774318799311231e+02
1.336169223854115216e+03,4,1,9.713281998566978359e+01,7.568296817340507232e+01
2.048662694504527281e+03,3,1,2.038774526383371466e+01,3.026923219178667637e+02
2.022390820696370383e+03,3,1,6.309453086254799814e+01,3.904701678299947503e+02
1.477896860397878982e+03,2,1,5.801332957803542456e+01,3.134098069540222014e+02
1.570363553579483550e+03,3,1,7.838580758211477928e+00,2.140382155171088527e+02
1.045945388293419001e+03,2,1,5.868879284943859886e+01,4.531287617874911007e+02
5.931664781528256754e+02,3,2,7.969822101450741769e+00,3.911989388640528773e+02
1.269587640695980781e+03,2,1,0.000000000000000000e+00,2.606668308882086080e+02
